backend-1  | {"@timestamp":"2026-05-30T19:31:54.85213101-03:00","@version":"1","message":"events_skipped_duplicate device_id=5333cf90-e1ae-48bc-ad61-e9e6588c861b rec_no=24 user_id=1 create_time=null door=0","logger_name":"br.com.sport.accesscontrol.integration.intelbras.service.IntelbrasEventImportService","thread_name":"MessageBroker-4","level":"INFO","level_value":20000,"application":"access-control-api"}
backend-1  | {"@timestamp":"2026-05-30T19:31:54.859286052-03:00","@version":"1","message":"intelbras_event_person_resolved deviceId=5333cf90-e1ae-48bc-ad61-e9e6588c861b userId=1 resolvedType=EMPLOYEE resolvedName=Arruda foundInDatabase=true","logger_name":"br.com.sport.accesscontrol.integration.intelbras.service.IntelbrasPersonResolver","thread_name":"MessageBroker-4","level":"INFO","level_value":20000,"application":"access-control-api"}
backend-1  | {"@timestamp":"2026-05-30T19:31:54.860232843-03:00","@version":"1","message":"events_skipped_duplicate device_id=5333cf90-e1ae-48bc-ad61-e9e6588c861b rec_no=25 user_id=1 create_time=null door=0","logger_name":"br.com.sport.accesscontrol.integration.intelbras.service.IntelbrasEventImportService","thread_name":"MessageBroker-4","level":"INFO","level_value":20000,"application":"access-control-api"}
backend-1  | {"@timestamp":"2026-05-30T19:31:54.867508052-03:00","@version":"1","message":"intelbras_event_person_resolved deviceId=5333cf90-e1ae-48bc-ad61-e9e6588c861b userId=1 resolvedType=EMPLOYEE resolvedName=Arruda foundInDatabase=true","logger_name":"br.com.sport.accesscontrol.integration.intelbras.service.IntelbrasPersonResolver","thread_name":"MessageBroker-4","level":"INFO","level_value":20000,"application":"access-control-api"}
backend-1  | {"@timestamp":"2026-05-30T19:31:54.868474093-03:00","@version":"1","message":"events_skipped_duplicate device_id=5333cf90-e1ae-48bc-ad61-e9e6588c861b rec_no=26 user_id=1 create_time=null door=0","logger_name":"br.com.sport.accesscontrol.integration.intelbras.service.IntelbrasEventImportService","thread_name":"MessageBroker-4","level":"INFO","level_value":20000,"application":"access-control-api"}
backend-1  | {"@timestamp":"2026-05-30T19:31:54.875764052-03:00","@version":"1","message":"intelbras_event_person_resolved deviceId=5333cf90-e1ae-48bc-ad61-e9e6588c861b userId=1 resolvedType=EMPLOYEE resolvedName=Arruda foundInDatabase=true","logger_name":"br.com.sport.accesscontrol.integration.intelbras.service.IntelbrasPersonResolver","thread_name":"MessageBroker-4","level":"INFO","level_value":20000,"application":"access-control-api"}
backend-1  | {"@timestamp":"2026-05-30T19:31:54.87672451-03:00","@version":"1","message":"events_skipped_duplicate device_id=5333cf90-e1ae-48bc-ad61-e9e6588c861b rec_no=27 user_id=1 create_time=null door=0","logger_name":"br.com.sport.accesscontrol.integration.intelbras.service.IntelbrasEventImportService","thread_name":"MessageBroker-4","level":"INFO","level_value":20000,"application":"access-control-api"}
backend-1  | {"@timestamp":"2026-05-30T19:31:54.884769052-03:00","@version":"1","message":"intelbras_event_person_resolved deviceId=5333cf90-e1ae-48bc-ad61-e9e6588c861b userId=1 resolvedType=EMPLOYEE resolvedName=Arruda foundInDatabase=true","logger_name":"br.com.sport.accesscontrol.integration.intelbras.service.IntelbrasPersonResolver","thread_name":"MessageBroker-4","level":"INFO","level_value":20000,"application":"access-control-api"}
backend-1  | {"@timestamp":"2026-05-30T19:31:54.885725468-03:00","@version":"1","message":"events_skipped_duplicate device_id=5333cf90-e1ae-48bc-ad61-e9e6588c861b rec_no=28 user_id=1 create_time=null door=0","logger_name":"br.com.sport.accesscontrol.integration.intelbras.service.IntelbrasEventImportService","thread_name":"MessageBroker-4","level":"INFO","level_value":20000,"application":"access-control-api"}
backend-1  | {"@timestamp":"2026-05-30T19:31:54.893035093-03:00","@version":"1","message":"intelbras_event_person_resolved deviceId=5333cf90-e1ae-48bc-ad61-e9e6588c861b userId=1 resolvedType=EMPLOYEE resolvedName=Arruda foundInDatabase=true","logger_name":"br.com.sport.accesscontrol.integration.intelbras.service.IntelbrasPersonResolver","thread_name":"MessageBroker-4","level":"INFO","level_value":20000,"application":"access-control-api"}
backend-1  | {"@timestamp":"2026-05-30T19:31:54.893972885-03:00","@version":"1","message":"events_skipped_duplicate device_id=5333cf90-e1ae-48bc-ad61-e9e6588c861b rec_no=29 user_id=1 create_time=null door=0","logger_name":"br.com.sport.accesscontrol.integration.intelbras.service.IntelbrasEventImportService","thread_name":"MessageBroker-4","level":"INFO","level_value":20000,"application":"access-control-api"}
